gym_membership,fitness_improvement,previous_fitness,age_old,coffee_drinker,tv_viewing,diet_type
0,0,1,1,0,0,Omnivore
1,0,1,1,1,0,Keto
1,1,1,0,1,0,Vegan
1,1,1,0,1,0,Keto
0,0,0,0,0,1,Keto
1,1,1,1,0,1,Vegan
0,0,0,1,1,1,Omnivore
1,1,1,0,0,1,Keto
0,1,1,1,0,0,Omnivore
1,0,0,1,0,0,Omnivore
0,0,0,0,1,0,Vegan
0,1,1,1,1,0,Keto
1,1,1,1,0,0,Vegan
0,1,1,1,1,0,Omnivore
1,1,1,0,0,0,Vegan
0,0,0,0,1,1,Omnivore
0,1,0,0,1,1,Vegan
1,1,1,0,0,1,Keto
0,0,0,0,1,1,Keto
0,1,0,0,0,0,Vegan
1,1,1,0,1,1,Keto
1,1,1,0,0,0,Omnivore
1,1,1,0,1,1,Vegan
1,1,0,0,1,1,Keto
1,1,1,0,1,1,Vegan
1,1,0,0,1,0,Vegan
1,1,1,0,0,1,Vegan
1,1,1,0,1,1,Keto
1,0,0,1,0,1,Omnivore
1,0,0,1,1,0,Vegan
1,0,1,0,1,1,Vegan
1,1,1,0,1,1,Omnivore
1,0,0,1,1,0,Omnivore
0,0,0,0,1,1,Vegan
1,1,1,1,0,0,Keto
0,0,0,1,1,0,Vegan
1,1,0,0,1,1,Keto
1,0,1,0,1,0,Vegan
1,0,0,0,1,0,Omnivore
0,1,0,0,1,1,Omnivore
1,1,1,1,1,1,Keto
1,1,1,0,1,1,Omnivore
0,0,0,1,1,0,Vegan
0,0,0,1,0,1,Vegan
0,0,0,0,0,1,Keto
1,1,1,0,1,1,Omnivore
1,0,0,1,1,1,Vegan
0,1,1,0,0,1,Keto
1,1,1,0,0,1,Keto
0,0,0,1,1,1,Omnivore
0,1,1,1,1,1,Keto
0,0,0,1,1,1,Vegan
1,0,1,1,1,1,Vegan
1,1,1,0,1,0,Omnivore
0,1,1,1,0,1,Omnivore
0,1,1,1,1,0,Vegan
1,1,1,0,0,0,Omnivore
1,1,1,1,0,0,Vegan
0,0,0,0,0,0,Omnivore
1,1,1,1,0,0,Keto
1,1,1,0,0,1,Vegan
0,1,0,1,1,1,Keto
1,1,1,0,1,1,Keto
1,1,1,0,1,1,Vegan
1,1,1,0,1,0,Keto
0,1,0,0,0,1,Omnivore
0,1,0,0,1,0,Omnivore
0,0,0,0,1,1,Vegan
1,1,1,1,1,1,Omnivore
1,0,0,0,1,0,Keto
1,1,1,1,1,0,Keto
0,1,1,0,0,0,Keto
1,0,1,1,0,0,Vegan
0,1,1,1,0,1,Keto
0,0,0,1,0,1,Omnivore
1,1,1,0,0,0,Keto
1,1,1,0,0,1,Vegan
1,1,1,1,0,1,Omnivore
1,1,0,0,0,0,Omnivore
0,0,1,1,0,1,Vegan
0,0,0,1,0,1,Vegan
0,1,1,1,0,1,Omnivore
1,0,0,1,1,1,Vegan
1,0,0,0,0,1,Omnivore
1,0,0,0,0,1,Keto
0,0,0,1,1,0,Omnivore
1,1,1,1,1,1,Omnivore
0,1,0,0,1,0,Vegan
0,1,0,0,1,1,Vegan
0,1,0,0,1,0,Keto
0,1,1,0,0,1,Keto
1,1,1,0,0,0,Vegan
1,0,0,0,1,0,Vegan
0,0,0,0,1,1,Keto
1,1,1,0,1,0,Keto
1,1,1,1,0,0,Omnivore
1,0,1,0,0,0,Vegan
1,1,1,0,0,0,Omnivore
1,1,1,0,1,1,Keto
0,0,0,0,1,0,Omnivore
1,1,1,1,0,0,Vegan
0,1,0,1,0,1,Vegan
1,0,0,1,0,1,Vegan
0,0,0,0,1,0,Omnivore
1,1,0,1,1,1,Vegan
1,1,1,0,1,1,Omnivore
1,0,0,0,1,1,Omnivore
0,0,0,0,1,1,Vegan
1,0,0,1,1,1,Keto
0,0,0,1,1,0,Keto
0,0,1,0,1,0,Omnivore
0,0,0,0,1,0,Vegan
0,1,1,1,0,1,Keto
1,1,0,1,0,1,Omnivore
1,1,1,0,1,0,Vegan
1,1,0,0,1,0,Omnivore
0,1,1,0,1,0,Vegan
1,1,0,0,1,1,Omnivore
1,0,0,0,0,0,Vegan
0,1,1,0,0,1,Omnivore
1,1,1,0,0,1,Keto
0,1,0,1,1,1,Vegan
0,1,0,1,1,1,Keto
1,0,0,1,0,1,Vegan
1,0,1,1,0,0,Keto
1,0,1,1,1,1,Omnivore
1,1,1,1,1,0,Omnivore
1,1,1,1,1,0,Vegan
0,0,0,1,0,0,Omnivore
1,1,0,1,1,1,Keto
1,0,1,1,1,0,Vegan
0,0,1,1,0,1,Vegan
1,1,1,1,0,0,Keto
0,1,0,0,1,1,Vegan
1,1,1,0,1,1,Keto
1,1,1,0,0,0,Keto
0,1,0,0,1,1,Omnivore
1,1,1,0,1,0,Omnivore
0,1,1,1,1,0,Omnivore
0,0,0,1,0,1,Keto
0,0,0,1,0,1,Vegan
0,1,1,1,1,0,Keto
0,1,1,0,1,1,Omnivore
0,1,1,1,1,0,Omnivore
1,1,1,0,0,0,Keto
1,0,0,0,0,1,Omnivore
0,0,0,1,1,1,Keto
0,0,1,1,1,0,Omnivore
0,1,0,0,0,0,Omnivore
1,1,1,1,1,0,Vegan
1,1,0,1,1,1,Omnivore
0,0,0,1,0,0,Omnivore
0,0,0,0,1,0,Vegan
0,1,1,1,1,1,Vegan
1,1,1,0,1,1,Keto
1,1,1,1,1,1,Keto
0,1,1,1,0,0,Vegan
0,0,0,1,0,0,Omnivore
1,1,0,0,0,0,Vegan
1,1,1,0,0,0,Vegan
0,0,0,0,0,0,Omnivore
0,0,0,1,0,0,Vegan
1,0,1,0,1,0,Omnivore
1,1,1,1,1,0,Keto
1,1,1,0,1,0,Vegan
1,1,1,0,0,1,Omnivore
1,0,1,1,1,0,Keto
1,1,1,0,0,0,Vegan
1,1,1,1,1,1,Vegan
1,1,1,0,1,1,Keto
0,1,0,0,1,1,Keto
1,0,0,0,1,1,Keto
1,0,1,1,0,0,Keto
1,1,1,1,1,1,Omnivore
0,0,0,1,1,0,Keto
1,0,1,1,0,1,Omnivore
1,1,1,0,1,0,Omnivore
0,1,1,0,0,0,Vegan
0,0,0,1,1,1,Keto
1,1,1,0,1,0,Omnivore
0,1,1,0,0,1,Omnivore
1,0,0,0,0,0,Keto
0,0,0,0,0,1,Keto
1,1,1,0,0,0,Keto
0,0,0,0,0,1,Keto
1,1,1,0,0,1,Keto
0,0,0,1,1,1,Omnivore
1,1,1,0,1,1,Vegan
1,1,1,1,0,0,Vegan
1,1,1,0,0,1,Vegan
1,1,1,0,0,0,Vegan
1,1,1,1,0,1,Keto
0,0,0,1,1,0,Omnivore
1,1,1,1,0,0,Keto
0,1,0,1,0,0,Vegan
1,1,1,1,0,1,Omnivore
1,1,1,0,1,1,Vegan
1,1,1,1,0,0,Keto
1,1,1,0,0,1,Omnivore
1,0,1,1,1,1,Keto
0,1,0,0,0,1,Vegan
1,1,1,0,0,0,Keto
1,0,0,0,0,1,Omnivore
1,1,1,1,0,1,Omnivore
0,0,0,0,0,1,Keto
0,0,0,1,0,0,Keto
0,1,0,0,1,1,Omnivore
0,1,1,0,0,0,Keto
0,0,0,1,1,0,Keto
0,0,1,1,1,1,Keto
1,1,1,1,0,1,Keto
1,1,1,0,1,0,Vegan
1,1,1,0,0,0,Vegan
1,0,1,1,0,0,Keto
0,0,0,1,1,0,Keto
0,1,1,1,0,1,Keto
1,1,1,0,0,1,Omnivore
0,0,0,1,0,1,Omnivore
0,1,1,1,0,0,Omnivore
0,0,0,1,0,1,Vegan
1,0,0,0,0,1,Omnivore
1,1,1,0,1,1,Omnivore
0,1,1,1,1,0,Omnivore
1,1,1,1,0,0,Vegan
1,1,1,1,1,1,Omnivore
0,1,1,0,1,0,Vegan
1,0,0,0,1,1,Omnivore
0,1,1,1,0,0,Keto
0,1,0,0,1,1,Keto
0,1,1,1,0,1,Keto
1,1,1,0,1,0,Omnivore
0,1,1,0,0,1,Vegan
1,1,1,0,0,1,Vegan
0,1,1,1,0,1,Omnivore
1,1,1,0,0,0,Keto
1,0,0,1,1,1,Omnivore
1,1,0,0,1,0,Vegan
0,1,0,1,1,1,Vegan
1,1,0,1,1,1,Keto
0,1,1,1,0,1,Vegan
0,1,0,0,0,1,Keto
1,1,0,0,1,1,Omnivore
1,0,0,0,0,0,Keto
0,1,1,1,0,1,Omnivore
0,1,0,1,0,1,Keto
0,1,0,0,1,0,Vegan
0,0,0,0,1,1,Vegan
1,1,0,1,0,1,Vegan
0,0,0,1,0,1,Keto
1,0,0,0,0,1,Vegan
0,1,1,0,0,1,Keto
0,0,0,1,0,0,Keto
1,0,0,1,0,0,Omnivore
0,1,0,1,1,0,Keto
0,1,1,1,0,0,Keto
0,0,0,0,1,0,Keto
0,1,1,0,0,1,Omnivore
0,0,0,1,1,0,Keto
1,1,1,0,1,1,Omnivore
0,0,0,1,0,1,Omnivore
1,1,1,0,1,0,Omnivore
0,1,1,1,1,1,Vegan
0,0,0,1,1,0,Keto
0,0,0,0,1,0,Keto
1,1,1,1,1,0,Vegan
0,0,1,1,0,0,Keto
1,0,1,1,0,1,Omnivore
0,0,0,0,0,1,Vegan
0,0,0,1,0,1,Vegan
1,1,1,0,0,0,Keto
0,0,0,1,1,0,Omnivore
0,0,0,1,0,1,Vegan
0,1,0,1,1,0,Vegan
0,1,1,1,0,0,Omnivore
0,1,1,1,1,0,Vegan
0,0,0,1,1,0,Vegan
1,1,1,0,0,1,Keto
0,0,0,1,1,0,Keto
1,0,1,0,0,0,Keto
0,1,0,0,1,0,Vegan
1,0,0,0,0,0,Keto
1,0,0,1,0,1,Vegan
1,1,0,0,0,0,Omnivore
1,1,0,0,0,0,Omnivore
1,0,0,1,1,1,Keto
1,0,1,1,0,0,Keto
0,1,0,0,0,0,Keto
1,1,1,1,1,1,Vegan
1,1,1,1,1,1,Vegan
1,1,0,1,1,0,Keto
1,1,1,0,1,0,Omnivore
1,0,0,0,0,1,Omnivore
0,0,0,1,1,0,Vegan
1,0,0,0,1,1,Keto
1,1,1,0,1,0,Vegan
0,0,0,1,1,0,Omnivore
0,0,0,1,1,0,Omnivore
0,1,1,1,0,1,Keto
1,1,1,0,1,1,Vegan
1,1,1,0,1,1,Omnivore
0,1,1,0,0,1,Omnivore
1,0,1,1,0,1,Vegan
1,1,1,1,1,0,Omnivore
0,0,0,1,1,1,Vegan
0,1,0,0,1,0,Omnivore
0,0,0,0,0,0,Keto
0,1,1,1,0,0,Keto
0,1,1,0,0,1,Keto
1,1,1,0,0,1,Omnivore
1,1,0,1,1,1,Keto
1,1,1,1,1,0,Omnivore
0,0,0,1,1,1,Keto
0,0,0,1,0,0,Vegan
0,0,0,1,1,1,Keto
0,1,0,0,0,0,Keto
0,1,0,1,0,0,Vegan
1,1,1,0,1,1,Vegan
1,1,1,0,0,1,Omnivore
1,1,1,0,0,1,Omnivore
0,0,1,1,1,1,Keto
0,0,0,1,0,0,Omnivore
1,1,1,0,0,1,Omnivore
0,0,0,1,1,1,Omnivore
1,0,0,0,1,1,Vegan
0,1,1,1,1,1,Vegan
1,0,0,0,0,1,Vegan
0,1,1,1,1,0,Omnivore
1,0,1,0,1,0,Keto
1,1,1,0,1,0,Vegan
1,1,1,1,1,1,Vegan
1,0,0,0,1,1,Keto
0,1,1,0,0,1,Vegan
1,0,0,0,1,0,Omnivore
0,0,0,1,1,1,Omnivore
1,0,1,1,1,1,Vegan
0,1,0,0,0,0,Omnivore
1,1,0,0,1,1,Vegan
0,1,0,1,0,1,Omnivore
1,1,0,0,0,0,Keto
1,1,1,0,0,1,Vegan
0,0,0,0,1,1,Vegan
0,0,0,0,0,1,Omnivore
0,1,1,0,0,0,Keto
1,0,0,0,0,1,Keto
0,0,0,1,1,1,Keto
1,1,1,1,1,1,Vegan
1,1,1,0,1,1,Omnivore
1,0,0,0,1,0,Keto
0,0,0,0,1,1,Vegan
1,1,1,1,0,1,Vegan
1,1,1,1,1,1,Vegan
0,0,0,1,1,0,Keto
1,1,1,1,0,1,Keto
0,0,0,0,1,0,Keto
0,1,1,0,0,1,Keto
0,0,0,1,1,0,Keto
1,0,0,0,1,0,Keto
1,0,1,0,0,1,Omnivore
1,1,1,0,1,0,Omnivore
0,0,0,1,1,1,Vegan
1,0,0,0,1,0,Omnivore
0,0,0,1,1,1,Vegan
1,0,0,1,0,0,Keto
1,0,1,1,1,0,Vegan
1,1,1,1,0,0,Vegan
0,0,0,1,0,1,Vegan
0,0,1,0,0,1,Keto
0,1,1,1,1,0,Omnivore
0,0,1,1,1,1,Vegan
1,1,1,0,0,0,Vegan
0,1,0,1,0,1,Vegan
0,0,0,1,0,1,Keto
1,1,1,1,1,1,Vegan
1,1,0,1,1,1,Keto
1,0,0,0,0,0,Keto
0,1,0,1,1,1,Omnivore
1,0,1,1,1,1,Vegan
0,0,0,1,0,1,Keto
1,1,1,0,1,1,Keto
1,0,0,0,0,0,Vegan
0,0,0,1,0,0,Keto
0,1,0,1,0,1,Keto
1,1,1,1,0,1,Omnivore
0,0,0,0,0,1,Keto
1,0,1,0,0,0,Keto
1,1,1,0,1,1,Vegan
0,0,0,1,0,1,Vegan
0,1,0,1,0,1,Vegan
1,1,1,0,1,0,Omnivore
1,1,1,0,0,1,Omnivore
1,0,0,0,0,1,Vegan
0,1,1,1,0,0,Omnivore
1,0,0,0,1,1,Keto
1,0,0,0,1,0,Vegan
1,0,0,1,0,0,Vegan
1,1,1,1,0,0,Keto
1,1,0,1,0,1,Vegan
0,0,0,1,0,1,Omnivore
0,0,0,1,1,1,Keto
1,1,1,0,1,0,Keto
0,0,1,0,1,0,Keto
0,1,1,0,1,0,Vegan
1,1,1,0,1,0,Vegan
1,1,1,0,1,0,Omnivore
1,0,1,1,0,1,Omnivore
0,1,1,0,1,1,Vegan
1,1,1,1,0,1,Vegan
1,1,1,0,0,1,Vegan
1,1,0,0,1,0,Omnivore
1,0,0,0,0,1,Vegan
0,1,1,1,1,1,Vegan
1,1,1,0,1,0,Vegan
0,0,0,0,0,1,Vegan
0,0,1,1,1,1,Vegan
1,1,1,0,0,0,Keto
0,0,0,1,1,0,Omnivore
0,1,1,1,0,0,Omnivore
0,0,0,0,0,1,Vegan
1,1,1,0,0,0,Omnivore
0,1,0,1,1,1,Omnivore
1,1,1,0,1,1,Keto
0,0,1,1,0,1,Vegan
1,1,1,1,0,1,Omnivore
0,0,1,1,0,0,Omnivore
0,0,0,0,1,0,Keto
0,0,0,1,0,1,Omnivore
1,1,1,1,0,1,Keto
1,1,1,0,0,0,Keto
1,1,1,1,0,0,Omnivore
1,1,1,0,0,0,Omnivore
0,0,0,0,0,0,Keto
1,0,1,1,1,0,Omnivore
1,1,1,0,1,0,Vegan
0,1,1,0,1,0,Keto
0,1,1,1,0,1,Omnivore
1,1,1,0,0,1,Vegan
0,0,1,0,1,0,Vegan
0,0,0,1,1,0,Omnivore
1,0,0,0,1,0,Keto
1,0,1,1,1,1,Omnivore
1,0,0,1,0,1,Keto
0,1,0,1,1,0,Vegan
1,0,0,1,0,0,Vegan
0,1,1,0,0,1,Vegan
1,1,0,0,1,1,Keto
1,1,0,0,0,0,Omnivore
0,1,0,0,1,0,Vegan
0,0,0,1,1,1,Omnivore
1,0,1,1,0,1,Keto
1,0,0,0,0,0,Omnivore
0,1,1,0,1,0,Keto
1,1,0,0,1,0,Vegan
1,1,1,1,0,0,Omnivore
1,1,1,0,1,0,Omnivore
1,1,0,0,0,0,Keto
0,1,1,1,0,0,Vegan
0,1,0,1,0,1,Keto
1,1,1,0,1,0,Vegan
0,1,0,1,1,0,Keto
0,1,1,1,1,0,Keto
1,1,1,0,0,0,Keto
0,1,1,0,0,0,Vegan
0,1,1,1,1,0,Omnivore
1,0,1,1,0,1,Omnivore
0,1,0,1,1,0,Omnivore
0,1,0,1,0,1,Keto
0,1,0,0,1,1,Omnivore
1,0,1,1,0,0,Keto
1,0,1,1,0,0,Vegan
0,0,1,1,0,0,Vegan
1,1,1,1,0,1,Vegan
1,0,0,0,0,0,Omnivore
0,0,0,1,0,0,Omnivore
0,1,0,1,0,0,Omnivore
0,0,0,0,0,1,Vegan
1,1,1,0,1,1,Omnivore
0,1,0,1,1,0,Keto
1,0,1,0,1,1,Omnivore
1,1,1,0,0,1,Keto
1,1,0,1,0,0,Vegan
0,0,0,1,1,0,Keto
1,0,0,0,0,1,Omnivore
0,1,0,0,1,1,Keto
0,0,0,1,0,0,Vegan
0,0,0,1,0,1,Omnivore
1,1,1,0,0,0,Vegan
0,1,0,0,1,1,Keto
0,1,0,0,0,0,Vegan
0,1,1,1,1,0,Vegan
0,1,1,1,0,0,Vegan
1,0,0,1,0,0,Omnivore
0,0,0,1,0,0,Vegan
0,0,1,1,0,0,Keto
0,1,0,0,0,1,Vegan
0,1,0,1,0,1,Keto
1,1,1,1,0,1,Keto
1,1,1,0,1,0,Keto
1,1,1,1,1,1,Vegan
